dataset,model,qini_mean,qini_std,auuc_mean,auuc_std,n_folds
hillstrom,treat_everyone,0.0,0.0,0.0,0.0,5
hillstrom,response_model,0.019719225364519675,0.016982826932321934,0.01111340894244132,0.009891227508076975,5
hillstrom,class_transformation,0.0061368390148932635,0.016719732446077357,0.0034800911662133845,0.009905869994107086,5
hillstrom,uplift_tree,0.001683482204229099,0.022078260819260145,0.0009063372793053113,0.012312921147304508,5
hillstrom,uplift_forest,0.012852536438862083,0.015457213680398114,0.007189283651497781,0.00898281724337071,5
criteo,treat_everyone,0.0,0.0,0.0,0.0,5
criteo,response_model,0.08772928511719993,0.007440175109188488,0.03451206310590228,0.0030263765711918706,5
criteo,class_transformation,0.0776403681125153,0.004945355236892453,0.030385022870252125,0.0019490963295614098,5
criteo,uplift_tree,0.07840574305157016,0.00548090986573708,0.030706262362542765,0.002170756032760864,5
criteo,uplift_forest,0.09054611933563683,0.006736249521593619,0.03547737902411139,0.002716690428919907,5
