dataset,base,model,qini_mean,qini_std,auuc_mean,auuc_std,n_folds,qini_fold_0,qini_fold_1,qini_fold_2,qini_fold_3,qini_fold_4,gap_to_bar
hillstrom,lightgbm,response_model,0.019719225364519675,0.016982826932321934,0.01111340894244132,0.009891227508076975,5,0.03092503718923776,0.02666940418043695,-0.0022599185041130765,0.03727368251133824,0.005987921445698493,0.0
hillstrom,lightgbm,s_learner,0.008816995324341619,0.017395886473986603,0.004854967952666096,0.009830909773046742,5,0.02220570096150292,0.008432713550336217,-0.004964753776676303,-0.011298288362217145,0.029709604248762404,-0.010902230040178056
hillstrom,lightgbm,t_learner,0.01338643087717899,0.021417775149972222,0.007411875130190468,0.012232045227197366,5,0.01415823621589604,0.0123613412560704,0.005831877664739175,-0.01225356209909607,0.04683426134828541,-0.006332794487340684
hillstrom,lightgbm,x_learner,0.008489603558252557,0.016829365538019576,0.0048803070479302695,0.009598517994378511,5,0.0040334793146203675,0.009066096020584,0.010267866625591761,-0.013990019095541534,0.03307059492600819,-0.011229621806267118
hillstrom,logistic,response_model,0.020028175931997006,0.022270864402236353,0.011392926476578776,0.012981144346997478,5,0.03317298541759329,0.03871842466986173,-0.0018965034680718702,0.03666065452298182,-0.006514681482379932,0.0
hillstrom,logistic,s_learner,0.019928001596375054,0.022293137903515673,0.011334929519760794,0.012994151331964703,5,0.033204069659506216,0.038629956102819316,-0.0019011363287831525,0.0364626743930722,-0.006755555844739308,-0.00010017433562195185
hillstrom,logistic,t_learner,0.022052081736054302,0.012603203999108605,0.012372132356606119,0.007366884338078793,5,0.035919473837698085,0.033850449417738175,0.006265157821970332,0.01882062966538428,0.015404697937480632,0.002023905804057296
hillstrom,logistic,x_learner,0.023955183485502518,0.013454163353843751,0.013431813897187377,0.007871688838803821,5,0.038773093565393275,0.03644452797566856,0.006833288734138806,0.02018041937069286,0.017544587781619096,0.003927007553505512
criteo,lightgbm,response_model,0.08772928511719993,0.007440175109188488,0.03451206310590228,0.0030263765711918706,5,0.09993931992773553,0.08932223045154039,0.08122463688757417,0.08473552923926138,0.08342470907988818,0.0
criteo,lightgbm,s_learner,0.09271660863327301,0.01096028877581189,0.036372341965638814,0.004390019469729503,5,0.1054650775162662,0.07949441428756918,0.1022736956636642,0.09047386204047272,0.08587599365839278,0.004987323516073075
criteo,lightgbm,t_learner,0.0703362189225041,0.016816544288981335,0.027541686495484264,0.0066626899415217055,5,0.07063188064530465,0.056079778852182155,0.06409251711357523,0.06193498869803932,0.09894192930341913,-0.017393066194695828
criteo,lightgbm,x_learner,0.07286095109511934,0.014454508118833878,0.02857597387775405,0.005774606892665469,5,0.09730578559204722,0.07475246794273427,0.06265978009674598,0.06522204386021346,0.06436467798385577,-0.014868334022080598
criteo,logistic,response_model,0.08397716194238239,0.007446567879598317,0.032981425173795806,0.0030036102755975416,5,0.09570357112255079,0.08291786151131642,0.0781047300068699,0.08589229286111608,0.07726735421005872,0.0
criteo,logistic,s_learner,0.08423989317831312,0.007393237295977005,0.0330882949034271,0.002986481195225711,5,0.09622177406716906,0.08336673339374964,0.07888857031559343,0.08517573725280528,0.07754665086224814,0.00026273123593073544
criteo,logistic,t_learner,0.09595451335367662,0.012290322101594186,0.03760969351175676,0.004918190205932482,5,0.11255273205075095,0.07882824415852503,0.09975622414219877,0.09710933847145216,0.09152602794545621,0.011977351411294232
criteo,logistic,x_learner,0.08720084704426596,0.008380654298526441,0.03411648604343746,0.0033741741381658834,5,0.10019526684016955,0.08349583821865325,0.07848466864676075,0.09024764987397689,0.08358081164176936,0.003223685101883575
