dataset,model,qini_mean,qini_std,auuc_mean,auuc_std,n_folds,qini_fold_0,qini_fold_1,qini_fold_2,qini_fold_3,qini_fold_4
hillstrom,treat_everyone,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
hillstrom,response_model,0.019719225364519675,0.016982826932321934,0.01111340894244132,0.009891227508076975,5,0.03092503718923776,0.02666940418043695,-0.0022599185041130765,0.03727368251133824,0.005987921445698493
hillstrom,s_learner,0.008816995324341619,0.017395886473986603,0.004854967952666096,0.009830909773046742,5,0.02220570096150292,0.008432713550336217,-0.004964753776676303,-0.011298288362217145,0.029709604248762404
hillstrom,t_learner,0.01338643087717899,0.021417775149972222,0.007411875130190468,0.012232045227197366,5,0.01415823621589604,0.0123613412560704,0.005831877664739175,-0.01225356209909607,0.04683426134828541
hillstrom,x_learner,0.008489603558252557,0.016829365538019576,0.0048803070479302695,0.009598517994378511,5,0.0040334793146203675,0.009066096020584,0.010267866625591761,-0.013990019095541534,0.03307059492600819
hillstrom,class_transformation,0.0061368390148932635,0.016719732446077357,0.0034800911662133845,0.009905869994107086,5,0.01617869715191181,0.009179227103951833,0.0006015282927213489,-0.019420304120642787,0.02414504664652412
hillstrom,uplift_tree,0.001683482204229099,0.022078260819260145,0.0009063372793053113,0.012312921147304508,5,0.016982078587098874,-0.01483482325992517,-0.0016871716659098907,-0.022676541374558948,0.030633868734440628
hillstrom,uplift_forest,0.012852536438862083,0.015457213680398114,0.007189283651497781,0.00898281724337071,5,0.03359787490376617,0.017469554088935604,-0.008177130724027103,0.0055684336018871515,0.015803950323748588
criteo,treat_everyone,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
criteo,response_model,0.08772928511719993,0.007440175109188488,0.03451206310590228,0.0030263765711918706,5,0.09993931992773553,0.08932223045154039,0.08122463688757417,0.08473552923926138,0.08342470907988818
criteo,s_learner,0.09271660863327301,0.01096028877581189,0.036372341965638814,0.004390019469729503,5,0.1054650775162662,0.07949441428756918,0.1022736956636642,0.09047386204047272,0.08587599365839278
criteo,t_learner,0.0703362189225041,0.016816544288981335,0.027541686495484264,0.0066626899415217055,5,0.07063188064530465,0.056079778852182155,0.06409251711357523,0.06193498869803932,0.09894192930341913
criteo,x_learner,0.07286095109511934,0.014454508118833878,0.02857597387775405,0.005774606892665469,5,0.09730578559204722,0.07475246794273427,0.06265978009674598,0.06522204386021346,0.06436467798385577
criteo,class_transformation,0.0776403681125153,0.004945355236892453,0.030385022870252125,0.0019490963295614098,5,0.07708658894275022,0.08392731621173599,0.07039553357258661,0.07987328790489764,0.07691911393060606
criteo,uplift_tree,0.07840574305157016,0.00548090986573708,0.030706262362542765,0.002170756032760864,5,0.08064533519570563,0.08005815464786262,0.08058875048103199,0.06869003213227562,0.08204644280097499
criteo,uplift_forest,0.09054611933563683,0.006736249521593619,0.03547737902411139,0.002716690428919907,5,0.09947248634883638,0.08373745832413769,0.09478283894961523,0.09031264412690244,0.08442516892869244
