dataset,model,fraction,k,top_decile_uplift,top_decile_se,top_decile_n_treated,top_decile_n_control,incremental_visits,share_of_treat_everyone_visits,incremental_conversions,incremental_conversions_se,conversions_treated_top_k,conversions_control_top_k,value_point,value_low,value_high
hillstrom,response_model,0.1,1280,0.07406804846039544,0.02401337501788334,842,438,62.36529680365297,0.11988792067717845,9.155251141552512,4.515644681799779,13,2,937.3050228310503,-182.23744292237438,1309.2876712328768
hillstrom,uplift_forest,0.1,1280,0.15135175204746437,0.02094807398742379,853,427,129.2880435259532,0.2485368546476504,8.019639331314993,5.096264652593764,14,3,805.1652325918126,-239.01803343425036,1138.945899697249
criteo,response_model,0.1,20000,0.06279747997584417,0.009527972100862083,17222,2778,1081.4982001439885,0.5896936751057734,44.23686105111591,53.858174348899254,441,64,3147.4011519078467,-7788.156947444204,5635.529157667386
criteo,uplift_forest,0.1,20000,0.07168486405480629,0.008138761347395084,17300,2700,1240.1481481481483,0.6761985540611496,23.77777777777777,52.24105255463811,389,57,766.7822222222217,-8811.111111111111,2566.6666666666656
