feature,importance,std
f0,0.004909975418887011,0.005049279078639566
f3,0.0022176329148654527,0.0037477293293050797
f6,0.0018593551721125868,0.004202541903228144
f10,0.0016637681364007478,0.0012089269989385442
f8,0.001553015260519397,0.0018097385055671539
f9,0.0008118015670122742,0.0013331114056302476
f4,0.00070259614865541,0.0004947704858448868
f2,0.0005330442144978242,0.001135591059188229
f7,0.00011943216945031198,0.0003093145530878221
f1,0.0,0.0
f11,-0.0007444142311897495,0.0008968923805621463
f5,-0.0009489754111202342,0.0005545146708691574
