dataset,seed,model,qini_mean,qini_std,auuc_mean,auuc_std,n_folds,qini_fold_0,qini_fold_1,qini_fold_2,qini_fold_3,qini_fold_4
hillstrom,43,response_model,0.020570695199026556,0.013880319274240929,0.011670669390729374,0.008260284149473222,5,0.02787316043421405,0.037352315478446314,0.021751422716897627,0.00035031238303522705,0.015526264982539553
hillstrom,43,s_learner,0.01599036302064249,0.01650518766620851,0.008827262174690122,0.009298662472713623,5,-0.011512137637849838,0.025278878447352483,0.02299548164888609,0.013375009645717735,0.029814582999105995
hillstrom,43,uplift_forest,0.0177078109367594,0.013536502393775275,0.009881176821207826,0.007701858768591368,5,0.010152946744310349,0.02564799822481103,0.03154413766859762,-0.0020571327086960373,0.023251104754774037
hillstrom,44,response_model,0.018022417108375027,0.014481429000928596,0.010195402397118586,0.008711119585779385,5,0.016999771077590084,0.04226018304558273,0.01712403300638931,0.006360760706697717,0.007367337705615296
hillstrom,44,s_learner,0.004157799911856856,0.011815817477587313,0.002247768414645552,0.006895299039743878,5,-0.0031229065169509976,-0.004130192122933485,0.02099961949945745,0.012247560649920228,-0.005205081950208923
hillstrom,44,uplift_forest,0.00845872782169274,0.005425418482228027,0.004585886365125741,0.0032300083596561143,5,0.0042856805529831185,0.005004397733257495,0.012418200028570676,0.016036797331122368,0.004548563462530049
hillstrom,45,response_model,0.019457093897044624,0.024734007449056405,0.010970366274206141,0.0144249424250947,5,0.02873889869059715,0.03403419131839066,0.02723512414461989,0.03181215536605429,-0.024534900034438863
hillstrom,45,s_learner,0.01021461112564289,0.012005705966360754,0.005527709529706159,0.006758805451336517,5,0.01520121315940881,0.017238342082564174,0.010000633404680931,0.01902571833598285,-0.01039285135442231
hillstrom,45,uplift_forest,0.00834298515253436,0.015066628160634529,0.00448564863575778,0.008589604258872277,5,0.004669345190973555,0.02444268411683583,0.015835337114075407,0.012182517178375507,-0.015414957837588492
criteo,43,response_model,0.08763378669437157,0.006325767441865362,0.0344672803230235,0.002571963314098917,5,0.09509202414537116,0.09347539864793647,0.08559038486401342,0.08318503350609452,0.08082609230844222
criteo,43,s_learner,0.0901144479818458,0.013563002448024213,0.035347203951400744,0.00542504818688755,5,0.10017100092807939,0.09386225369682098,0.09944423944928565,0.067014802153171,0.09007994368187201
criteo,43,uplift_forest,0.08817044905001263,0.01234582909267966,0.034557994427244845,0.004923838195924208,5,0.09275287918794832,0.09698649430269432,0.09213815045537328,0.06636444250514133,0.09261027879890596
criteo,44,response_model,0.08755725485772782,0.002549539974209982,0.03443635912262101,0.0010050333844256031,5,0.08708597160232857,0.08456680145004425,0.09050507335623625,0.08581246383199151,0.08981596404803853
criteo,44,s_learner,0.09455770456142143,0.00829075611272643,0.03707461592337692,0.0032833397347725277,5,0.08302398202078669,0.10014440500958863,0.0934982013151363,0.10458171582090477,0.09154021864069077
criteo,44,uplift_forest,0.0906095674100274,0.0072656686297071955,0.03549074870945602,0.0028951167109829354,5,0.09124258024840454,0.08844508594285051,0.07944250692165235,0.09634870228951091,0.09756896164771871
criteo,45,response_model,0.08759174125575123,0.0063374511575425875,0.03445557317591373,0.0026057326148042127,5,0.09063942482620624,0.08902015110633806,0.09578826877631534,0.08029530196809707,0.08221555960179935
criteo,45,s_learner,0.09128136864544545,0.00909295264213301,0.0358133268612299,0.003537605342266891,5,0.09127413644583615,0.0946960697585176,0.08592730568336054,0.10426520917567104,0.08024412216384194
criteo,45,uplift_forest,0.08617201830978019,0.006790999521680375,0.033744746566268934,0.002733434959096919,5,0.09593877870465888,0.0894019010476804,0.08470582146512705,0.0826455021489275,0.0781680881825071
